City,Best_time_to_visit
Manali,October-June
Leh Ladakh,JulyOctober
Coorg,September-June
Andaman,October-March
Lakshadweep,September-February
Goa,November-February
Udaipur,October-March
Srinagar,April-October
Gangtok,All Year
Munnar,September-March
Varkala,All Year
Mcleodganj,October-June
Rishikesh,SeptemberJune
Alleppey,All Year
Darjeeling,All Year
Nainital,All Year
Shimla,March-June
Ooty,October-June
Jaipur,November-March
Lonavala,All Year
Mussoorie,All Year
Kodaikanal,October-June
Dalhousie,All Year
Pachmarhi,All Year
Varanasi,October-March
Mumbai,October-February
Agra,All Year
Kolkata,All Year
Jodhpur,All Year
Bangalore,All Year
Amritsar,October-March
Delhi,OctoberMarch
Jaisalmer,All Year
Mount Abu,All Year
Wayanad,October-May
Hyderabad,All Year
Pondicherry,All Year
Khajuraho,All Year
Chennai,All Year
Vaishno Devi,All Year
Ajanta and Ellora Caves,All Year
Haridwar,October-February
Kanyakumari,All Year
Pune,All Year
Kochi,All Year
Ahmedabad,All Year
Kanha National Park,All Year
Mysore,All Year
Chandigarh,All Year
Hampi,All Year
Gulmarg,All Year
Almora,All Year
Shirdi,All Year
Auli,All Year
Madurai,All Year
Amarnath,All Year
Bodh Gaya,All Year
Mahabaleshwar,December-February
Visakhapatnam,All Year
Kasol,October-June
Nashik,July-March
Tirupati,September-March
Ujjain,All Year
Jim Corbett National Park,All Year
Gwalior,All Year
Mathura,All Year
Jog Falls,All Year
Alibaug,All Year
Rameshwaram,All Year
Vrindavan,All Year
Coimbatore,All Year
Lucknow,All Year
Digha,All Year
Dharamshala,All Year
Kovalam,All Year
Kaziranga National Park,All Year
Madikeri,All Year
Matheran,All Year
Ranthambore,All Year
Agartala,All Year
Khandala,All Year
Kalimpong,All Year
Thanjavur,All Year
Bhubaneswar,All Year
Ajmer,All Year
Aurangabad,All Year
Jammu,All Year
Dehradun,All Year
Puri,All Year
Cherrapunji,All Year
Bikaner,All Year
Shimoga (Shivamogga),All Year
Hogenakkal,All Year
Gir National Park,June-October
Kasauli,All Year
Pushkar,All Year
Chittorgarh,All Year
Nahan,All Year
Lavasa,All Year
Poovar,All Year
